date,daily_carbon,weekly_carbon,monthly_carbon,yearly_carbon
2025-01-01,4.64,4.64,4.64,4.64
2025-01-02,5.62,10.26,10.26,10.26
2025-01-03,5.46,15.72,15.72,15.72
2025-01-04,3.99,19.71,19.71,19.71
2025-01-05,5.85,25.56,25.56,25.56
2025-01-06,4.63,30.19,30.19,30.19
2025-01-07,4.99,35.18,35.18,35.18
2025-01-08,4.81,35.35,39.99,39.99
2025-01-09,5.52,35.25,45.51,45.51
2025-01-10,4.9,34.69,50.41,50.41
2025-01-11,5.35,36.05,55.76,55.76
2025-01-12,4.85,35.05,60.61,60.61
2025-01-13,4.53,34.95,65.14,65.14
2025-01-14,5.33,35.29,70.47,70.47
2025-01-15,5.73,36.21,76.2,76.2
2025-01-16,4.19,34.88,80.39,80.39
2025-01-17,4.94,34.92,85.33,85.33
2025-01-18,5.52,35.09,90.85,90.85
2025-01-19,5.47,35.71,96.32,96.32
2025-01-20,5.23,36.41,101.55,101.55
2025-01-21,5.23,36.31,106.78,106.78
2025-01-22,4.52,35.1,111.3,111.3
2025-01-23,4.83,35.74,116.13,116.13
2025-01-24,6.17,36.97,122.3,122.3
2025-01-25,4.37,35.82,126.67,126.67
2025-01-26,4.45,34.8,131.12,131.12
2025-01-27,4.9,34.47,136.02,136.02
2025-01-28,5.46,34.7,141.48,141.48
2025-01-29,4.94,35.12,146.42,146.42
2025-01-30,4.45,34.74,150.87,150.87
2025-01-31,4.93,33.5,151.16,155.8
